"box","section","x","y","edge_edi","altitude_m","northness","no_trees_75m","pnum","area_polygon","area_polygon_sqrt"
"B1","B",447796.72,207573.76,77.4375,109.493,0.442280864,15,"20222B1",6319.93240856007,79.4980025444669
"B1","B",447796.72,207573.76,77.4375,109.493,0.442280864,15,"20131B1",2855.80032628402,53.4396886806428
"B1","B",447796.72,207573.76,77.4375,109.493,0.442280864,15,"19861B1",7814.79360944591,88.4013213105207
"B1","B",447796.72,207573.76,77.4375,109.493,0.442280864,15,"20061B1",4757.59687139466,68.9753352394511
"B1","B",447796.72,207573.76,77.4375,109.493,0.442280864,15,"19961B1",7542.14692768361,86.8455348747626
"B1","B",447796.72,207573.76,77.4375,109.493,0.442280864,15,"19871B1",4216.95217275061,64.9380641284494
"B1","B",447796.72,207573.76,77.4375,109.493,0.442280864,15,"20051B1",3985.96414356865,63.1344925026617
"B1","B",447796.72,207573.76,77.4375,109.493,0.442280864,15,"20011B1",6100.35478017479,78.1047679733753
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"19931B10",6931.02154851769,83.2527570025023
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"19881B10",3704.11746594496,60.8614612537767
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"20091B10",4037.23399044387,63.5392319000149
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"20121B10",5985.75953051448,77.3676904819737
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"19601B10",5006.47705005016,70.756462956045
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"20051B10",3372.35588691104,58.0719888320612
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"20101B10",8472.81894617621,92.0479165770535
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"19731B10",8063.57032212801,89.7973848290028
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"19791B10",14907.8027650602,122.097513345114
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"20081B10",4958.88455060474,70.4193478427963
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"20131B10",3037.69477971457,55.1152862617493
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"19741B10",7243.54755170271,85.1090333143475
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"19911B10",23405.1671854332,152.987473949449
"B10","B",447762.72,207546.76,97.2329,115.701,0.595048645,10,"20181B10",16871.6435024003,129.8908907599
"B100","B",447811.72,207581.76,66.2956,106.99,0.411690918,16,"20001B100",10771.2883672342,103.784817614303
"B100","B",447811.72,207581.76,66.2956,106.99,0.411690918,16,"19981B100",9985.46866455674,99.9273169086248
"B100","B",447811.72,207581.76,66.2956,106.99,0.411690918,16,"19951B100",6402.11345674703,80.0132080143462
"B100","B",447811.72,207581.76,66.2956,106.99,0.411690918,16,"19881B100",5661.38730506413,75.242190990588
"B100","B",447811.72,207581.76,66.2956,106.99,0.411690918,16,"20041B100",12460.4743244853,111.626494724529
"B100","B",447811.72,207581.76,66.2956,106.99,0.411690918,16,"19601B100",3765.00863047317,61.3596661535342
"B100","B",447811.72,207581.76,66.2956,106.99,0.411690918,16,"19801B100",18278.5032943608,135.198015127297
"B100","B",447811.72,207581.76,66.2956,106.99,0.411690918,16,"20021B100",3197.91134027578,56.5500781633039
"B101","B",447802.72,207554.76,61.6173,110.337,0.468847327,16,"19611B101",3042.75194115198,55.161145212477
"B101","B",447802.72,207554.76,61.6173,110.337,0.468847327,16,"19971B101",4507.5870911454,67.1385663471108
"B101","B",447802.72,207554.76,61.6173,110.337,0.468847327,16,"20081B101",4909.34123998135,70.0666913731579
"B101","B",447802.72,207554.76,61.6173,110.337,0.468847327,16,"20121B101",2741.84302875539,52.362610981075
"B101","B",447802.72,207554.76,61.6173,110.337,0.468847327,16,"20031B101",5314.96648522653,72.9038166711903
"B101","B",447802.72,207554.76,61.6173,110.337,0.468847327,16,"19941B101",3810.18028760701,61.7266578360356
"B101","B",447802.72,207554.76,61.6173,110.337,0.468847327,16,"20111B101",6113.80421312712,78.1908192381121
"B101","B",447802.72,207554.76,61.6173,110.337,0.468847327,16,"20221B101",5558.71318259509,74.5567782471526
