"name","Est","Rel_Est","model_name"
"Vby","46.107 (8.316)","0.648 (0.117)","HD_basic"
"Va"," 5.160 (0.674)","0.073 (0.009)","HD_basic"
"Vpe"," 4.840 (0.682)","0.068 (0.010)","HD_basic"
"Vr","15.018 (0.338)","0.211 (0.005)","HD_basic"
"Vp","71.126","-","HD_basic"
"h2_yr"," 0.206 (0.026)","-","HD_basic"
"Vby","45.912 (8.279)","0.650 (0.117)","HD_NB"
"Vnb"," 2.244 (0.202)","0.032 (0.003)","HD_NB"
"Va"," 4.873 (0.621)","0.069 (0.009)","HD_NB"
"Vpe"," 3.190 (0.627)","0.045 (0.009)","HD_NB"
"Vr","14.434 (0.336)","0.204 (0.005)","HD_NB"
"Vp","70.654","-","HD_NB"
"h2_yr"," 0.197 (0.024)","-","HD_NB"
"Vby","45.933 (8.282)","0.544 (0.098)","HD_spat"
"Vspat","16.483 (3.013)","0.195 (0.036)","HD_spat"
"Va"," 4.640 (0.580)","0.055 (0.007)","HD_spat"
"Vpe"," 2.418 (0.585)","0.029 (0.007)","HD_spat"
"Vr","15.011 (0.332)","0.178 (0.004)","HD_spat"
"Vp","84.485","-","HD_spat"
"h2_yr"," 0.120 (0.017)","-","HD_spat"
"Vby","45.780 (8.256)","0.520 (0.094)","HD_envir"
"Venv","20.219 (3.240)","0.230 (0.037)","HD_envir"
"Va"," 4.189 (0.585)","0.048 (0.007)","HD_envir"
"Vpe"," 2.900 (0.615)","0.033 (0.007)","HD_envir"
"Vr","14.982 (0.333)","0.170 (0.004)","HD_envir"
"Vp","88.071","-","HD_envir"
"h2_yr"," 0.099 (0.016)","-","HD_envir"
