"model","trait","level","coef"
"LD_basic","Laying date","Adult","0 (NA)"
"LD_basic","Laying date","Juvenile","2.386 (0.022)"
"LD_NB","Laying date","Adult","0 (NA)"
"LD_NB","Laying date","Juvenile","2.387 (0.023)"
"LD_spat","Laying date","Adult","0 (NA)"
"LD_spat","Laying date","Juvenile","2.368 (0.022)"
"LD_envir","Laying date","Adult","0 (NA)"
"LD_envir","Laying date","Juvenile","2.36 (0.022)"
"HD_basic","Hatching date","Adult","0 (NA)"
"HD_basic","Hatching date","Juvenile","1.54 (0.023)"
"HD_NB","Hatching date","Adult","0 (NA)"
"HD_NB","Hatching date","Juvenile","1.536 (0.023)"
"HD_spat","Hatching date","Adult","0 (NA)"
"HD_spat","Hatching date","Juvenile","1.51 (0.023)"
"HD_envir","Hatching date","Adult","0 (NA)"
"HD_envir","Hatching date","Juvenile","1.513 (0.023)"
